Variant_Code	Description	Current_Warehouse	Warehouse_Name	Stock	On_Order	Unit_Cost	Inventory_Value	Future_Warehouse_Code	Consolidated_Item_Code	
BX010155-CGY	Bag Filters No. 2, 5 Micron, PO5P2S	30	Calgary	25.00	0.00	0.00	0.00	030-CGY1	BX010155	
BX010155-EDM	Bag Filters No. 2, 5 Micron	40	Edmonton	12.00	0.00	0.00	0.00	040-EDM1	BX010155	
