Item_Code	Description	Base_UoM	Purchasing_UoM	Sales_UoM	Vendor_Code	Vendor_Name	Warehouse_Code	Warehouse_Name	On_Hand	On_Order	Committed	Available	Unit_Cost	Inventory_Value	Sales_Order_Count	Sales_Total_Ordered	Sales_Total_Shipped	Sales_Total_Value	Purchase_PO_Count	Purchase_Total_Ordered	Purchase_Total_Value	Avg_Lead_Time_Days	Min_Lead_Time_Days	Max_Lead_Time_Days	Receipt_Count	Future_Warehouse_Code	
BX010155-EDM	Bag Filters No. 2, 5 Micron	EA	Ea	Ea	V00604	ENERGY TECHNOLOGY PRODUCTS LTD. - ABTEC FILTERS	40	Edmonton	12.00	0.00	0.00	12.00	0.00	0.00	2	11.00	11.00	832.00	2	60.00	288.00				2	040-EDM1	
BX010155-EDM	Bag Filters No. 2, 5 Micron	EA	Ea	Ea	V00604	ENERGY TECHNOLOGY PRODUCTS LTD. - ABTEC FILTERS	05	Finished Goods	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00					05	
